service,course_id,user_id,task,subtask,author,comment_length
Abgabe,15,a0548702,11,1,someone003,714
Abgabe,15,a0548702,12,6,someone003,495
Abgabe,15,a1008192,1,1,someone003,549
Abgabe,15,a1008192,2,12,someone001,300
Abgabe,15,a1008192,3,1,someone004,183
Abgabe,15,a1008192,7,9,someone003,412
Abgabe,15,a1008192,9,1,someone004,45
Abgabe,15,a1008192,8,5,someone001,224
Abgabe,15,a0806710,1,1,someone003,412
Abgabe,15,a0806710,1,3,someone003,561
Abgabe,15,a0806710,1,2,someone003,412
Abgabe,15,a0806710,1,11,someone003,722
Abgabe,15,a0806710,2,11,someone001,232
Abgabe,15,a0806710,3,1,someone004,88
Abgabe,15,a0806710,4,1,someone003,406
Abgabe,15,a0806710,9,1,someone004,57
Abgabe,15,a0806710,10,5,someone003,634
Abgabe,15,a0806710,8,5,someone001,232
Abgabe,15,a0901879,1,1,someone003,412
Abgabe,15,a0901879,1,4,someone003,412
Abgabe,15,a0901879,3,1,someone004,150
Abgabe,15,a0901879,3,8,someone004,173
Abgabe,15,a0901879,2,13,someone001,238
Abgabe,15,a0901879,4,3,someone003,586
Abgabe,15,a0901879,7,8,someone003,499
Abgabe,15,a0901879,9,1,someone004,45
Abgabe,15,a0901879,6,8,someone004,138
Abgabe,15,a0901879,10,5,someone003,554
Abgabe,15,a0901879,8,5,someone001,232
Abgabe,15,a1000312,1,1,someone003,471
Abgabe,15,a1000312,1,6,someone003,465
Abgabe,15,a1000312,1,4,someone003,412
Abgabe,15,a1000312,2,3,someone001,232
Abgabe,15,a1000312,3,1,someone004,298
Abgabe,15,a1000312,4,3,someone003,424
Abgabe,15,a1000312,7,4,someone003,523
Abgabe,15,a1000312,9,1,someone004,613
Abgabe,15,a1000312,10,5,someone003,406
Abgabe,15,a1000312,8,3,someone001,234
Abgabe,15,a0174030,1,1,someone003,412
Abgabe,15,a0174030,1,3,someone003,561
Abgabe,15,a0174030,1,4,someone003,412
Abgabe,15,a0174030,2,6,someone001,232
Abgabe,15,a0174030,3,2,someone004,469
Abgabe,15,a0174030,4,1,someone003,662
Abgabe,15,a0174030,7,9,someone003,574
Abgabe,15,a0174030,9,1,someone004,87
Abgabe,15,a0174030,10,5,someone003,406
Abgabe,15,a0174030,8,3,someone001,232
